,student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,Age_Group
0,S1000,0.8571428571428572,Female,0.0,1.2,1.1,No,85.0,8.0,Fair,6,Master,Average,8,Yes,0.40650406504065045,"(20, 25]"
1,S1001,0.4285714285714284,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,1.0,"(15, 20]"
2,S1002,0.5714285714285716,Male,1.4,3.1,1.3,No,94.8,8.0,Poor,1,High School,Poor,1,No,0.1097560975609756,"(20, 25]"
3,S1003,0.8571428571428572,Female,1.0,3.9,1.0,No,71.0,9.2,Poor,4,Master,Good,1,Yes,0.008130081300813052,"(20, 25]"
4,S1004,0.2857142857142856,Female,5.0,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,0.5447154471544717,"(15, 20]"
5,S1005,1.0,Male,7.2,1.3,0.0,No,82.9,7.4,Fair,1,Master,Average,4,No,1.0,"(20, 25]"
6,S1006,0.5714285714285716,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2,Master,Poor,4,No,0.8617886178861789,"(20, 25]"
7,S1007,0.5714285714285716,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair,0,Bachelor,Average,8,No,0.6287262872628727,"(20, 25]"
8,S1008,0.8571428571428572,Female,4.4,2.2,1.7,No,100.0,7.1,Good,3,Bachelor,Good,1,No,0.7140921409214094,"(20, 25]"
9,S1009,0.1428571428571428,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5,Bachelor,Good,10,Yes,1.0,"(15, 20]"
10,S1010,0.2857142857142856,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1,,Good,3,No,0.5027100271002711,"(15, 20]"
11,S1011,0.8571428571428572,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2,Bachelor,Average,1,No,0.6531165311653118,"(20, 25]"
12,S1012,0.2857142857142856,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1,Bachelor,Good,9,No,0.6869918699186992,"(15, 20]"
13,S1013,0.2857142857142856,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4,Bachelor,Good,10,No,0.6720867208672086,"(15, 20]"
14,S1014,1.0,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6,Bachelor,Average,9,No,0.7140921409214094,"(20, 25]"
15,S1015,0.5714285714285716,Male,3.1,5.0,1.0,No,97.5,6.5,Good,6,High School,Average,7,No,0.6476964769647697,"(20, 25]"
16,S1016,0.4285714285714284,Male,1.0,0.6,0.2,No,92.9,5.6,Poor,3,High School,Poor,8,Yes,0.3929539295392955,"(15, 20]"
17,S1017,1.0,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0,High School,Average,1,Yes,0.6043360433604337,"(20, 25]"
18,S1018,1.0,Other,2.0,4.9,2.9,Yes,88.3,7.1,Good,2,High School,Good,5,No,0.23983739837398382,"(20, 25]"
19,S1019,0.2857142857142856,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1,High School,Average,2,No,0.2588075880758807,"(15, 20]"
20,S1020,0.7142857142857144,Female,3.8,2.3,2.9,No,83.0,6.4,Good,3,Master,Good,1,No,0.437669376693767,"(20, 25]"
21,S1021,0.5714285714285716,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1,High School,Good,3,No,0.7628726287262872,"(20, 25]"
22,S1022,0.1428571428571428,Other,4.9,2.3,0.6,No,84.5,6.0,Fair,3,High School,Average,7,No,0.9823848238482387,"(15, 20]"
23,S1023,1.0,Female,1.1,4.1,1.4,Yes,90.0,9.0,Fair,6,Bachelor,Good,1,No,0.2371273712737128,"(20, 25]"
24,S1024,0.4285714285714284,Female,2.0,0.0,0.9,Yes,81.8,5.5,Fair,4,Bachelor,Average,2,No,0.3888888888888889,"(15, 20]"
25,S1025,0.7142857142857144,Male,4.9,4.3,3.3,No,74.7,9.0,Fair,1,High School,Average,2,Yes,0.5921409214092141,"(20, 25]"
26,S1026,0.7142857142857144,Male,2.0,0.8,0.5,No,83.8,6.5,Good,4,Bachelor,Poor,4,No,0.6409214092140922,"(20, 25]"
27,S1027,0.1428571428571428,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5,Bachelor,Average,3,No,0.60840108401084,"(15, 20]"
28,S1028,1.0,Male,4.3,2.0,2.8,Yes,78.4,8.1,Good,5,High School,Poor,3,Yes,0.7669376693766938,"(20, 25]"
29,S1029,0.4285714285714284,Female,2.0,3.2,3.8,Yes,82.6,6.7,Poor,6,High School,Poor,10,Yes,0.6707317073170733,"(15, 20]"
30,S1030,0.5714285714285716,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2,Master,Average,5,No,0.6016260162601625,"(20, 25]"
31,S1031,0.0,Other,1.5,3.1,2.6,Yes,96.2,8.0,Fair,4,Bachelor,Average,3,Yes,0.3401084010840108,"(15, 20]"
32,S1032,0.4285714285714284,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3,Bachelor,Good,7,No,0.3509485094850949,"(15, 20]"
33,S1033,0.1428571428571428,Female,4.0,0.9,1.1,No,99.5,5.8,Poor,2,,Average,5,No,0.6029810298102982,"(15, 20]"
34,S1034,0.7142857142857144,Female,1.1,2.7,0.1,No,100.0,7.7,Fair,1,High School,Good,4,No,0.33875338753387546,"(20, 25]"
35,S1035,0.5714285714285716,Female,4.2,1.7,0.0,Yes,84.2,6.5,Good,1,Bachelor,Average,3,No,0.6287262872628727,"(20, 25]"
36,S1036,0.4285714285714284,Female,3.5,3.0,2.6,No,74.9,7.3,Fair,3,High School,Good,4,No,0.6029810298102982,"(15, 20]"
37,S1037,0.0,Male,4.3,2.5,0.0,Yes,64.1,3.9,Good,0,High School,Average,2,No,0.4498644986449865,"(15, 20]"
38,S1038,0.0,Male,3.8,1.7,1.4,No,70.3,7.0,Poor,0,Bachelor,Good,1,No,0.43224932249322506,"(15, 20]"
39,S1039,0.2857142857142856,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1,High School,Average,3,No,0.7601626016260163,"(15, 20]"
40,S1040,0.2857142857142856,Female,3.7,4.7,2.0,No,98.8,8.5,Good,6,Bachelor,Good,2,No,0.5894308943089432,"(15, 20]"
41,S1041,0.8571428571428572,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6,Bachelor,Average,1,No,0.5392953929539297,"(20, 25]"
42,S1042,0.1428571428571428,Male,3.7,3.4,2.0,No,88.9,6.8,Fair,3,High School,Poor,1,Yes,0.505420054200542,"(15, 20]"
43,S1043,1.0,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0,Bachelor,Good,2,No,0.5352303523035231,"(20, 25]"
44,S1044,0.4285714285714284,Female,3.6,1.4,0.8,No,73.0,5.3,Good,4,High School,Poor,9,No,0.7086720867208671,"(15, 20]"
45,S1045,0.4285714285714284,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1,Bachelor,Average,5,Yes,0.6626016260162602,"(15, 20]"
46,S1046,1.0,Male,2.4,4.3,1.0,No,87.9,8.9,Poor,5,High School,Average,9,Yes,0.6070460704607046,"(20, 25]"
47,S1047,0.8571428571428572,Female,2.5,2.9,2.7,No,83.5,7.0,Good,4,,Good,8,Yes,0.4539295392953931,"(20, 25]"
48,S1048,0.7142857142857144,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3,Bachelor,Good,6,No,0.35772357723577247,"(20, 25]"
49,S1049,0.7142857142857144,Female,6.1,2.5,2.3,No,100.0,5.8,Poor,5,High School,Average,1,No,0.9525745257452576,"(20, 25]"
